winner,cluster,mod,lobby,r_1,r_2,r_3,r_4,r_5,d_1,d_2,d_3,d_4,d_5
1,151,2,3,1,9,22,28,93,2,42,44,57,61
1,227,2,3,18,21,28,86,104,7,10,25,42,96
-1,223,8,2,6,9,20,21,32,14,22,41,93,94
1,204,9,2,28,41,47,57,83,7,26,62,71,106
1,151,2,2,4,6,12,59,106,11,19,35,44,104
1,134,2,3,9,14,62,90,95,17,26,44,98,107
1,124,2,2,35,48,49,84,93,44,53,63,98,104
1,227,2,2,9,14,19,35,81,6,8,17,25,29
-1,224,8,3,6,23,30,43,99,18,27,29,32,73
1,131,2,3,9,18,21,36,86,26,39,67,89,104
1,153,2,3,2,15,32,87,100,19,23,37,95,104
1,154,2,2,6,42,62,81,97,2,10,14,76,106
-1,186,2,3,19,41,79,93,104,1,9,84,86,88
1,155,2,2,8,32,41,75,93,14,17,30,54,105
1,154,9,2,9,70,73,86,93,10,28,67,79,106
-1,231,8,3,8,28,39,62,111,6,9,10,42,90
1,184,2,3,4,11,18,21,87,1,27,44,74,99
-1,153,2,2,6,25,28,34,104,2,14,23,44,49
1,144,9,2,12,14,18,42,96,2,41,47,54,103
-1,224,2,3,19,21,41,44,75,18,35,53,65,68
1,135,2,2,10,21,34,90,93,15,51,63,73,104
-1,227,2,2,1,12,16,52,101,2,7,93,94,102
-1,171,2,2,16,19,26,46,67,2,10,30,40,73
1,151,2,3,6,21,28,33,85,8,9,54,61,110
1,155,2,2,12,39,50,59,104,2,6,21,32,44
1,227,2,3,16,22,32,35,67,14,18,25,62,104
1,134,4,2,6,58,62,63,106,32,38,67,68,89
-1,152,2,2,2,9,39,93,94,14,31,44,54,55
1,144,2,2,11,87,104,109,111,10,41,86,90,105
-1,151,2,2,4,32,35,42,49,26,44,47,48,57
1,145,2,3,44,56,62,76,104,22,54,65,87,95
1,155,2,2,14,25,74,82,89,9,17,40,46,73
-1,227,2,2,17,18,59,64,87,9,11,14,36,98
1,225,8,2,49,64,79,80,87,2,35,36,44,68
-1,151,2,2,2,62,63,73,101,8,32,57,74,100
1,145,2,2,9,18,81,104,106,16,32,34,44,74
-1,151,2,3,6,11,14,31,106,26,34,44,88,93
-1,224,8,2,9,25,48,79,97,14,36,52,59,98
1,154,2,2,8,65,89,98,105,18,25,34,44,45
1,132,2,2,54,62,76,101,104,32,41,74,88,93
1,155,2,2,22,41,68,74,93,9,18,21,31,76
-1,231,8,3,29,82,86,89,93,5,8,21,71,98
1,153,2,3,18,19,22,30,67,8,20,26,35,44
-1,152,2,3,35,44,76,104,105,6,9,18,67,73
-1,186,2,2,26,32,36,44,104,5,41,64,70,81
-1,187,2,2,2,44,56,57,91,14,35,65,93,95
1,153,2,3,8,22,30,44,83,6,9,37,84,93
-1,231,9,2,2,19,39,47,101,44,49,75,90,96
1,154,2,2,14,18,32,73,112,8,11,57,59,84
-1,261,9,2,10,23,27,55,94,5,35,44,47,93
1,227,8,3,9,14,16,56,73,26,42,61,70,71
-1,186,2,2,26,35,97,104,106,6,36,45,59,79
1,154,2,2,8,14,34,88,95,2,9,11,21,74
1,171,2,2,34,41,42,44,104,4,5,14,32,59
-1,227,2,2,16,26,30,31,41,5,8,65,76,86
-1,151,2,2,20,63,65,72,110,5,6,14,73,104
1,227,9,2,37,64,67,95,96,3,18,28,41,89
-1,112,2,2,35,41,45,74,86,13,73,88,89,90
-1,183,9,2,2,11,20,60,63,4,15,26,35,82
-1,154,2,3,57,75,93,94,104,1,2,9,16,22
1,225,9,2,25,27,42,55,93,1,3,4,19,97
1,223,8,2,23,51,64,67,98,32,34,49,71,75
1,152,2,3,6,23,45,56,58,10,41,51,76,103
1,138,2,3,6,17,29,30,74,5,14,22,75,104
1,225,2,3,1,17,29,47,64,9,30,41,98,103
1,156,2,3,2,14,26,43,89,8,28,34,54,84
1,153,2,2,6,18,39,96,104,31,35,36,51,64
1,156,2,3,1,14,26,34,84,5,28,44,45,100
-1,131,8,3,10,12,70,97,104,32,33,39,40,67
1,184,2,2,9,27,32,96,98,50,62,93,101,104
1,132,2,2,1,11,12,31,63,19,28,54,57,75
-1,154,2,3,21,26,33,74,93,5,18,44,97,104
-1,227,2,2,5,18,26,65,67,9,10,16,49,74
1,155,2,2,13,21,54,98,104,9,11,19,44,103
1,223,2,2,8,40,67,69,110,9,14,17,63,72
-1,224,2,3,70,74,87,93,103,8,14,68,73,104
1,152,2,3,6,7,9,12,76,1,2,14,36,44
1,183,2,3,6,32,34,35,50,9,44,85,93,98
1,231,8,3,7,16,32,54,74,8,41,47,56,84
1,185,2,2,14,23,49,73,74,8,21,26,60,104
-1,223,2,2,14,44,49,88,100,39,65,67,98,103
-1,225,8,3,14,20,36,74,93,8,21,41,48,103
1,153,2,2,14,18,44,81,104,2,32,35,59,71
-1,155,2,2,11,36,44,95,100,12,28,42,62,112
-1,227,8,2,17,41,64,71,81,9,10,14,32,82
-1,152,2,2,10,26,34,54,100,2,11,43,44,110
1,151,2,2,14,31,44,93,110,1,8,36,77,104
1,227,8,3,56,62,70,88,106,2,21,49,74,98
1,154,9,2,17,63,64,72,104,3,7,23,47,71
1,155,2,2,1,10,20,34,95,9,32,44,59,104
-1,136,9,2,27,43,57,69,70,6,13,14,59,99
1,182,2,2,4,18,35,63,64,44,70,71,87,111
-1,151,2,3,9,26,32,34,97,4,5,8,22,27
1,123,2,2,21,22,29,104,106,15,34,51,54,70
-1,231,8,3,11,16,51,62,84,30,34,57,78,93
1,224,8,3,4,32,54,88,106,1,20,21,98,104
1,187,2,2,10,25,32,48,60,6,21,34,75,110
1,181,2,2,3,22,54,56,63,17,18,26,62,99
1,152,2,2,9,11,41,98,103,6,25,34,35,87
-1,144,2,3,8,12,35,52,98,7,11,19,97,107
-1,225,2,3,14,26,44,45,104,8,19,75,84,98
1,152,2,3,9,34,39,68,93,1,14,17,45,63
1,136,2,3,39,73,86,93,103,5,9,44,57,104
-1,144,2,2,8,14,18,53,104,1,5,22,32,62
1,152,9,2,15,32,43,95,104,1,2,35,45,48
-1,224,8,2,10,26,70,84,86,25,32,59,71,98
-1,188,2,3,21,30,51,67,86,1,2,9,34,64
-1,156,2,2,6,14,27,44,109,8,43,74,97,98
1,153,2,3,9,34,36,57,107,8,11,14,62,100
-1,224,2,2,17,21,37,44,110,9,16,81,93,111
1,227,2,3,20,35,41,83,103,6,38,51,59,79
-1,144,2,3,6,14,28,69,74,7,8,9,34,93
-1,152,2,3,11,26,32,47,100,17,54,56,67,84
-1,227,8,2,6,18,29,46,96,2,17,33,59,93
1,155,2,3,35,42,59,71,74,6,21,93,98,112
1,152,2,2,13,17,90,94,104,11,14,16,74,93
1,181,2,3,9,16,17,38,41,39,56,62,83,109
-1,151,2,3,9,27,54,74,88,14,26,90,93,98
-1,183,2,2,31,44,62,65,105,18,32,55,59,85
-1,232,2,2,8,32,42,65,88,2,44,62,74,79
1,171,2,3,6,9,16,54,101,15,29,41,68,104
-1,122,2,3,9,36,41,102,104,6,14,20,74,84
1,156,2,2,9,42,49,64,84,1,5,35,54,98
-1,155,2,3,2,29,44,56,86,6,14,18,34,62
1,231,2,3,2,9,31,75,94,30,51,67,71,107
1,152,2,2,9,12,21,23,103,6,7,10,74,93
1,223,1,2,25,52,88,96,101,15,27,43,55,56
1,192,9,2,11,14,44,59,83,1,31,40,96,106
-1,155,2,3,6,7,14,27,109,5,20,28,35,74
1,132,2,2,30,44,65,76,86,12,14,39,53,88
-1,225,2,2,21,35,42,74,110,1,2,33,56,88
1,224,2,2,6,51,54,57,110,7,15,27,36,43
-1,181,9,2,11,14,49,70,99,7,29,60,71,75
-1,232,2,2,2,4,56,59,98,13,14,16,18,47
-1,156,2,3,18,26,64,71,74,8,17,57,79,98
1,224,2,2,8,9,40,97,104,11,25,54,98,101
-1,223,2,2,2,6,9,57,109,17,20,69,93,104
1,154,9,2,6,42,58,94,109,2,15,16,27,104
-1,156,2,3,6,26,74,98,104,8,27,28,44,84
1,151,2,3,1,8,10,62,104,9,14,22,32,98
1,138,2,2,5,9,21,41,97,14,25,53,62,71
-1,153,2,2,1,2,11,41,93,4,7,14,35,44
1,153,2,2,10,14,42,52,84,2,15,44,48,67
1,151,2,2,9,42,74,95,100,1,4,5,34,59
-1,227,8,2,10,14,25,29,36,9,19,48,83,84
-1,122,9,2,1,9,32,99,110,23,36,44,47,63
-1,154,2,2,10,34,62,64,100,9,14,21,23,105
1,151,2,2,1,6,44,72,98,14,21,73,74,75
-1,152,2,3,13,21,28,91,93,9,22,35,86,104
-1,124,2,3,16,18,36,49,69,4,8,9,25,99
1,154,2,3,5,8,32,44,54,2,9,21,57,93
1,191,1,2,30,64,65,76,113,29,87,89,99,103
-1,227,2,2,9,13,81,86,96,2,7,19,22,44
1,131,2,3,4,34,41,63,68,3,9,10,44,98
1,153,2,3,12,31,49,62,113,7,9,10,19,102
-1,184,2,2,16,86,93,98,106,7,17,42,63,75
1,153,9,2,12,37,39,81,98,6,21,29,41,47
1,155,2,2,1,16,22,67,86,9,12,26,33,39
-1,156,2,3,8,19,84,88,94,14,64,93,99,100
1,156,2,3,2,35,44,86,95,4,10,14,30,74
1,133,2,3,4,35,44,48,54,1,52,97,99,109
-1,188,2,3,10,36,41,53,111,1,26,72,104,106
-1,182,9,2,41,44,49,70,72,1,37,56,58,62
-1,223,8,3,9,16,29,93,101,2,31,48,83,98
-1,155,2,3,8,9,18,26,111,6,35,54,87,103
-1,181,9,2,41,62,88,104,106,6,42,46,61,100
-1,155,6,3,25,34,42,101,104,5,19,93,94,97
1,186,9,2,1,42,56,71,102,10,32,60,74,112
-1,186,2,3,18,21,48,57,59,6,23,53,68,99
1,153,2,3,5,9,32,71,98,8,14,62,63,72
-1,187,3,2,30,59,72,93,106,6,12,16,32,71
1,227,4,2,7,41,56,94,110,16,36,55,64,76
-1,224,8,3,6,8,19,35,102,4,71,73,74,93
1,231,2,2,8,9,62,70,93,10,34,42,60,68
-1,231,8,3,9,29,44,60,75,3,6,17,84,104
-1,154,9,2,30,41,73,101,109,36,50,56,67,105
-1,182,2,2,14,62,68,74,111,8,26,27,49,102
-1,154,2,2,7,44,57,73,98,4,11,14,62,71
1,154,2,2,2,21,22,35,54,14,41,44,74,93
1,187,9,2,8,44,93,99,113,3,4,22,47,59
1,156,2,3,9,11,44,59,104,2,14,41,66,106
-1,191,2,3,14,20,36,53,62,8,19,73,75,105
1,224,2,2,8,9,14,70,86,2,21,36,80,104
1,227,8,2,4,35,36,52,54,21,22,25,98,104
1,191,2,3,9,29,56,83,104,1,14,70,86,90
-1,156,2,2,8,20,35,36,47,4,11,22,44,104
1,182,9,2,1,33,42,57,64,40,67,82,100,112
1,153,2,3,9,16,44,62,71,1,14,28,32,68
1,225,8,3,19,23,62,63,84,9,28,32,39,49
-1,154,2,2,22,69,74,76,93,6,14,17,35,104
1,204,2,3,4,34,71,75,104,8,13,73,102,103
1,145,2,3,13,19,71,81,105,18,35,36,42,57
-1,231,2,2,7,9,54,67,88,17,79,93,103,104
-1,181,2,2,34,36,50,74,93,2,14,59,73,107
1,153,2,3,7,8,34,44,73,14,65,74,93,111
1,155,2,2,42,54,70,106,111,1,18,35,41,44
1,225,2,3,14,22,36,44,93,9,97,98,103,106
1,111,1,2,45,52,62,85,87,34,39,59,76,78
-1,224,8,3,6,9,23,66,109,28,40,44,56,63
-1,144,2,3,19,35,44,63,73,46,62,64,81,89
1,155,2,3,9,14,18,34,96,8,53,55,74,104
-1,152,2,2,47,48,79,93,104,10,14,35,40,50
-1,151,2,2,1,14,17,44,90,7,9,16,41,42
-1,191,2,3,26,41,74,98,112,23,44,45,104,106
1,152,2,2,11,22,44,54,72,62,63,74,98,104
-1,186,9,2,9,13,42,56,81,1,5,26,104,113
1,151,2,2,6,11,44,99,104,20,34,96,100,106
1,204,2,3,2,5,29,34,102,21,26,37,76,104
1,227,8,3,23,30,41,49,84,8,36,76,83,93
-1,145,2,3,14,39,54,60,104,9,15,32,44,71
-1,153,2,3,2,14,36,44,63,32,35,73,93,98
-1,187,3,2,3,17,28,29,95,25,34,38,51,100
-1,112,2,2,40,61,64,93,96,1,7,52,53,84
-1,151,2,2,1,5,32,57,98,2,10,26,28,44
-1,227,2,3,21,25,67,93,98,6,28,36,59,71
1,224,2,3,8,17,41,62,86,9,14,63,73,79
-1,223,8,2,21,56,69,91,99,8,59,77,85,88
-1,155,2,2,6,16,20,59,70,35,44,51,73,81
1,227,8,2,16,25,41,45,94,28,35,36,93,103
-1,261,9,2,15,18,19,42,94,6,28,39,78,93
-1,151,2,2,2,11,43,93,104,13,44,54,97,106
-1,145,2,2,4,23,32,33,36,18,35,44,76,88
-1,223,2,2,34,35,41,86,104,8,51,57,75,96
1,153,2,2,50,54,56,71,96,14,18,32,35,44
-1,184,9,2,44,59,63,67,71,2,65,72,95,97
1,192,2,2,14,25,46,88,109,1,9,36,50,96
1,232,2,2,6,10,41,64,88,17,21,67,84,93
1,151,2,3,1,14,44,103,112,9,22,70,80,101
-1,232,2,2,1,44,57,59,68,10,14,42,70,104
1,152,2,2,6,17,64,76,86,1,14,22,28,98
-1,152,2,3,2,8,35,50,57,9,36,44,84,98
-1,156,1,2,16,26,32,50,104,20,63,78,87,109
-1,187,2,2,5,39,51,56,75,13,18,44,58,93
1,227,2,2,6,32,62,84,94,4,9,12,18,67
1,152,2,3,9,14,18,41,74,2,8,17,63,98
1,153,2,3,2,18,25,67,69,9,44,47,59,94
-1,227,2,3,5,6,32,73,103,8,14,20,41,99
1,144,2,3,18,28,40,102,106,2,34,54,57,63
1,133,2,3,44,57,74,75,104,8,15,36,86,93
1,227,8,2,1,9,60,79,104,14,18,45,98,112
1,182,2,2,38,59,63,74,81,8,14,32,73,100
1,227,8,2,3,10,19,86,106,2,9,32,39,98
1,145,6,2,11,19,52,53,104,10,14,20,26,45
-1,224,8,3,8,42,46,90,103,15,26,41,88,98
1,223,2,2,9,29,59,71,73,11,62,85,93,99
1,151,2,2,5,42,44,67,84,74,86,95,98,100
-1,223,2,2,4,8,17,26,73,2,14,68,93,104
-1,225,2,2,18,46,50,86,104,8,14,22,35,93
-1,153,2,2,5,11,44,71,94,8,19,41,54,109
-1,153,2,2,2,8,14,34,98,4,6,44,63,84
-1,155,2,3,14,41,54,82,87,7,34,68,75,93
-1,185,2,3,30,34,41,75,93,7,8,14,37,59
-1,133,8,2,6,74,85,93,105,14,27,35,59,70
-1,192,2,2,2,9,14,69,100,8,17,44,73,105
1,121,2,3,5,8,14,17,99,9,41,62,74,110
1,136,2,3,17,32,42,93,112,6,9,25,41,101
1,187,2,2,30,32,44,70,104,14,18,19,25,101
-1,232,8,2,16,33,41,43,67,26,63,71,94,100
-1,154,2,2,18,26,67,73,109,2,14,44,48,84
-1,183,9,2,12,14,36,39,62,2,37,73,93,98
1,155,2,3,9,23,28,30,43,5,16,65,94,106
-1,181,2,2,22,44,48,70,86,4,8,16,35,59
-1,155,2,2,2,4,11,14,75,17,20,35,41,42
-1,137,2,3,14,53,63,81,104,6,35,59,83,85
-1,227,2,2,4,46,64,71,98,1,2,5,84,93
1,153,2,2,21,35,44,71,96,2,41,42,81,104
1,137,2,3,10,26,29,74,90,18,20,21,33,106
-1,223,2,2,30,53,69,74,93,1,16,37,52,75
1,231,8,2,36,41,59,68,103,60,79,94,97,106
-1,136,2,2,3,9,12,49,76,7,14,18,44,74
-1,131,9,2,31,46,64,85,104,4,9,20,35,93
1,227,2,3,4,10,34,71,104,11,16,26,98,106
-1,156,2,2,44,73,87,110,111,6,14,16,27,93
-1,137,2,2,36,44,51,58,71,11,67,68,74,96
1,154,2,2,2,7,44,74,76,6,9,14,35,53
1,154,2,2,4,44,51,60,100,5,13,23,64,80
-1,124,9,2,1,4,25,32,95,8,34,56,67,77
1,224,2,2,6,42,57,89,97,2,5,7,34,67
1,145,2,2,9,28,32,44,50,30,54,62,74,106
-1,154,2,3,29,39,41,74,104,17,18,36,42,79
-1,224,2,2,6,9,16,23,103,22,32,67,70,84
-1,155,2,3,18,44,53,59,93,1,2,9,50,74
1,225,1,2,23,26,29,37,104,5,65,83,85,111
1,227,2,2,11,22,28,32,52,21,45,62,93,104
1,184,2,3,6,44,79,82,95,32,65,70,98,104
1,156,2,2,13,45,54,57,74,11,14,17,82,98
1,153,2,3,41,56,73,75,90,1,32,39,40,104
-1,153,2,3,3,6,29,34,42,8,28,74,86,93
-1,225,2,2,12,19,28,66,79,4,6,7,41,68
-1,154,2,2,39,44,50,53,59,2,18,26,54,62
-1,151,2,3,4,6,9,23,42,29,39,44,47,84
-1,152,2,2,26,41,44,64,70,16,48,55,71,73
1,224,2,2,9,32,42,71,79,18,22,37,104,112
-1,225,8,3,4,8,34,41,79,2,9,16,18,88
-1,152,2,3,17,19,21,59,95,4,7,14,35,104
-1,227,8,2,2,9,36,93,104,26,62,63,67,98
-1,155,2,3,2,8,36,42,93,6,14,41,50,74
-1,137,9,2,19,48,63,102,104,23,36,70,77,103
1,155,2,3,17,25,28,98,109,62,70,71,74,93
1,223,2,2,17,22,41,60,95,2,9,18,74,89
-1,156,2,2,6,18,19,101,103,25,81,88,89,104
1,261,2,2,16,32,77,84,95,4,7,8,9,44
1,156,1,2,2,18,49,55,58,5,64,73,75,94
1,155,2,2,44,62,93,99,104,6,15,18,67,98
1,192,2,2,6,20,27,41,94,16,50,52,69,93
-1,135,2,3,18,23,26,44,53,2,16,30,32,46
-1,227,8,3,57,81,94,100,106,8,10,16,29,36
-1,122,2,2,49,53,55,61,74,1,6,18,27,51
1,227,2,2,17,28,41,71,103,20,74,93,98,104
1,134,2,3,2,5,8,73,98,1,25,70,86,99
-1,151,2,3,9,16,26,36,94,14,18,32,74,105
-1,227,8,3,18,21,23,88,90,6,7,9,69,94
1,231,2,3,6,7,16,18,36,42,71,82,103,106
-1,224,2,2,7,8,14,34,63,11,41,75,90,99
-1,112,8,2,4,6,23,28,85,9,47,79,81,113
1,155,2,2,8,33,74,104,105,1,6,41,71,86
1,223,2,3,8,34,42,63,69,2,21,27,31,104
-1,154,2,3,16,56,98,104,106,9,14,44,54,101
1,153,2,3,6,21,26,36,60,2,4,10,19,50
1,153,2,3,17,44,56,71,96,6,16,34,35,93
1,227,2,3,9,41,56,64,84,8,11,28,79,85
1,154,2,2,7,17,48,73,74,6,10,26,37,90
-1,224,2,3,5,8,14,36,41,17,19,26,54,98
1,124,2,3,5,20,44,53,109,48,54,74,84,103
-1,227,2,2,21,30,54,74,93,25,33,35,73,85
1,151,2,2,5,6,12,28,37,21,57,74,80,106
-1,232,2,2,2,8,30,32,63,22,25,46,68,93
-1,154,2,2,39,52,74,94,104,11,54,87,88,107
-1,155,2,2,48,56,74,107,112,2,12,35,42,93
-1,153,2,2,2,30,36,41,106,17,28,59,84,100
1,223,2,2,14,18,23,36,104,8,35,71,74,84
1,181,9,2,36,38,65,69,109,14,19,26,56,93
1,204,2,3,1,14,17,20,98,12,16,44,79,93
-1,224,2,3,41,42,96,98,105,18,32,90,94,99
1,152,9,2,32,45,88,95,102,1,15,23,28,36
-1,227,2,2,5,9,14,50,67,19,30,44,54,64
-1,223,8,3,16,71,74,79,109,9,21,28,55,99
1,224,2,2,9,16,51,67,88,8,17,44,83,98
-1,224,2,3,11,12,32,36,104,7,9,18,62,73
1,156,2,2,12,22,23,69,99,21,61,70,74,104
-1,184,2,2,2,13,44,62,101,22,74,93,98,104
1,155,2,3,7,18,21,26,44,8,42,63,84,98
-1,153,2,3,7,12,14,18,74,5,8,9,27,99
-1,153,9,2,7,10,46,67,73,12,19,36,70,95
-1,154,2,2,4,13,18,49,98,2,14,30,35,59
1,155,9,2,22,31,56,75,106,14,30,59,65,109
1,227,3,2,4,27,31,64,69,13,33,47,68,71
1,153,2,2,9,32,46,54,55,5,44,52,98,106
1,151,2,2,6,11,16,51,76,20,33,74,88,106
1,155,9,2,2,16,33,49,86,51,59,60,75,81
-1,191,9,2,1,3,5,62,81,2,7,22,47,48
1,137,2,2,5,28,41,44,74,1,6,25,75,98
-1,183,2,2,11,13,28,83,97,4,14,32,44,73
-1,153,2,3,2,13,16,17,50,35,44,73,85,98
-1,155,2,2,8,69,74,78,93,9,18,41,73,104
-1,227,8,3,5,67,93,96,112,7,8,32,71,94
-1,231,2,3,19,21,31,32,75,10,14,17,74,86
1,154,2,3,6,14,21,30,104,28,31,74,75,93
-1,131,2,3,7,9,20,26,48,14,41,74,79,109
-1,154,2,3,2,8,21,45,99,10,16,69,74,104
1,151,2,3,14,27,28,32,95,1,19,44,71,74
1,152,2,2,4,20,32,43,70,14,35,44,59,99
-1,153,2,2,9,17,21,42,54,1,44,74,94,99
-1,155,2,2,22,25,34,54,89,11,26,28,40,57
-1,225,2,2,8,25,41,58,96,2,9,10,44,86
-1,227,2,3,8,14,28,56,74,17,19,62,86,109
-1,155,2,2,5,7,14,21,79,6,23,60,83,86
1,231,2,3,9,14,16,17,54,8,30,41,47,93
1,154,2,2,2,8,21,32,64,1,16,84,85,104
-1,224,2,2,8,9,25,48,53,6,7,20,36,67
1,151,2,3,2,4,10,26,54,6,14,21,28,44
1,151,9,2,30,67,71,91,104,6,48,50,79,81
1,153,2,2,6,18,21,54,63,22,32,35,68,98
1,152,2,3,1,7,11,22,103,5,13,34,45,70
-1,156,2,3,9,10,65,88,103,16,34,93,97,110
1,225,2,2,36,40,41,71,93,9,17,18,21,104
1,154,2,3,1,14,44,59,86,9,27,34,48,84
1,151,9,2,38,45,47,99,100,13,21,32,59,62
-1,225,2,3,12,18,65,74,107,17,42,69,71,94
1,133,2,2,4,14,20,71,87,9,29,68,73,93
-1,151,2,2,30,41,60,68,99,12,18,26,33,93
1,223,9,2,12,23,26,40,56,44,49,62,103,109
-1,138,1,2,3,4,43,59,70,7,41,42,63,71
1,224,2,2,23,47,67,69,76,27,28,71,74,86
1,151,2,3,9,44,55,57,79,8,20,26,28,73
-1,183,2,2,4,14,21,39,62,2,32,34,44,71
1,187,9,2,15,22,43,45,48,31,56,57,63,95
-1,151,2,2,32,35,48,64,104,14,44,62,67,69
-1,225,2,2,41,57,65,76,101,7,9,29,74,104
1,153,2,2,1,28,32,35,56,6,14,44,71,104
1,224,2,3,17,30,38,40,93,4,6,9,16,20
1,145,2,2,10,17,44,71,81,1,2,4,20,21
1,156,2,3,30,39,44,68,98,1,17,22,26,73
1,145,2,2,14,36,42,44,73,11,32,50,68,104
-1,144,2,3,9,26,28,35,54,1,63,70,74,101
1,187,9,2,18,22,23,44,70,11,16,86,91,93
-1,227,2,3,9,32,46,54,61,14,18,25,62,67
1,156,9,2,49,56,71,75,96,1,2,18,37,41
1,156,2,2,14,19,26,57,74,4,7,8,38,86
1,152,2,2,2,9,32,42,86,6,14,62,96,104
-1,155,2,2,11,18,19,38,98,8,16,40,64,81
1,183,2,2,20,40,89,93,104,6,41,56,69,82
1,135,2,3,22,44,60,63,70,1,23,49,104,112
1,132,2,3,26,44,62,74,75,11,16,77,79,89
-1,154,2,3,9,10,56,57,106,42,58,70,73,94
-1,227,8,3,18,56,58,67,87,34,36,42,62,99
1,231,2,3,8,16,34,71,98,14,19,35,54,74
1,153,2,2,6,14,22,28,87,9,35,91,94,104
-1,124,9,2,9,34,44,65,67,22,55,73,104,109
1,231,8,3,26,34,35,37,93,9,88,94,103,104
-1,184,2,3,8,11,71,77,112,9,54,57,63,95
-1,227,2,2,2,8,43,84,104,14,21,71,75,103
-1,111,2,3,11,44,61,62,112,8,39,83,93,96
-1,224,8,3,18,19,25,69,105,6,22,63,87,99
1,227,8,3,16,44,48,63,84,1,32,33,36,74
1,227,2,2,18,22,28,31,84,9,16,17,62,72
-1,153,2,3,1,25,43,85,99,9,36,70,73,91
1,225,8,2,7,9,76,90,103,2,13,14,23,93
1,231,2,2,6,8,9,29,86,1,14,20,21,103
-1,227,1,2,16,20,26,73,92,3,9,45,53,96
-1,155,9,2,1,11,21,44,93,17,32,52,64,109
1,232,2,3,9,14,74,75,93,2,26,41,103,106
1,184,2,2,6,26,56,57,71,4,22,42,54,105
1,155,9,2,5,10,26,35,72,16,33,41,63,106
-1,181,2,2,44,52,64,67,106,6,73,74,98,104
1,145,2,3,1,5,17,42,106,9,44,54,97,99
-1,231,2,3,9,18,42,74,112,10,15,44,103,104
1,152,2,2,9,14,20,21,74,6,8,79,90,98
1,151,2,3,8,35,42,54,84,5,18,44,53,98
1,224,9,2,4,45,51,54,67,11,27,48,86,90
-1,154,2,3,2,9,12,79,82,7,10,46,68,70
-1,227,2,2,2,36,63,87,104,9,28,32,54,90
-1,191,9,2,9,13,39,70,102,8,52,54,84,95
1,154,9,2,14,33,65,74,103,10,18,35,84,93
-1,223,2,3,2,22,32,92,93,4,14,67,68,98
-1,224,2,3,1,9,43,44,71,16,18,25,85,93
1,231,9,2,2,19,64,76,78,9,43,44,53,88
-1,182,2,3,5,14,44,70,104,7,9,27,93,95
1,122,2,3,2,9,11,44,57,6,14,26,45,98
1,188,9,2,4,26,52,73,113,6,12,17,32,81
1,111,2,3,9,17,88,103,109,6,15,34,69,112
1,154,2,2,4,21,57,78,81,6,12,14,38,42
1,227,8,3,4,11,16,17,69,1,40,43,44,75
1,151,9,2,6,14,20,52,58,4,5,15,44,47
-1,223,8,2,71,98,101,104,106,17,87,93,103,105
1,155,2,3,7,9,10,74,102,12,62,63,101,109
-1,152,9,2,8,60,74,81,95,1,14,29,41,47
-1,156,2,3,38,68,93,94,98,6,9,10,41,113
1,227,8,2,6,10,19,22,65,8,16,17,86,99
1,227,8,3,14,19,28,104,105,38,40,51,63,68
1,156,2,2,4,19,53,56,64,14,16,35,61,71
1,152,2,3,1,19,35,86,109,7,14,32,93,98
-1,204,2,2,4,14,20,42,56,21,25,74,81,84
-1,152,2,2,4,21,34,44,62,1,11,14,54,59
1,224,8,2,2,48,73,79,102,9,29,35,88,111
-1,225,2,3,17,42,51,63,112,47,93,98,103,104
1,156,2,2,25,26,44,74,93,2,9,18,34,104
-1,145,2,2,28,32,58,83,104,9,20,35,74,84
1,151,9,2,64,65,71,94,97,9,12,35,70,93
1,224,8,3,2,6,46,79,94,5,26,82,93,98
-1,124,2,2,5,9,95,97,99,6,17,71,81,86
-1,224,2,2,11,13,14,44,67,8,9,25,62,98
-1,231,2,3,1,9,47,100,112,5,52,56,73,93
1,223,2,2,8,57,75,97,109,12,16,58,68,94
1,227,2,2,14,25,27,28,42,2,9,12,22,26
1,227,2,2,10,43,79,85,98,38,42,57,65,112
1,224,2,3,26,43,44,57,104,7,8,9,16,94
1,223,1,2,51,75,81,83,88,3,23,26,52,64
-1,152,2,2,26,32,54,60,71,14,35,44,74,87
-1,152,2,3,9,10,28,84,87,14,26,44,70,94
-1,188,2,2,5,8,11,99,104,41,44,55,73,87
1,155,2,2,5,22,34,44,71,6,19,35,59,96
-1,232,2,2,6,17,30,62,75,11,57,87,93,98
1,224,2,2,14,30,35,54,86,7,10,55,74,98
1,144,2,2,6,12,23,68,104,14,29,35,42,44
1,124,2,3,4,35,50,59,96,5,11,25,90,98
1,184,2,2,5,36,44,53,74,4,11,22,33,96
-1,152,2,2,2,45,75,82,109,1,32,44,55,87
-1,184,2,2,7,28,34,85,93,17,32,57,86,100
1,151,2,2,32,73,94,99,106,1,2,12,22,62
1,154,9,2,6,11,13,17,30,38,72,93,103,106
-1,182,2,2,26,32,41,80,98,9,19,34,96,107
-1,144,2,2,8,35,53,80,87,1,14,34,96,98
1,152,2,3,8,14,16,32,47,18,28,36,87,97
1,156,2,2,8,18,22,44,112,6,32,35,47,56
1,185,2,2,8,29,54,74,100,5,14,21,25,41
-1,132,2,2,5,9,11,52,98,1,14,57,74,106
-1,152,2,2,14,17,38,74,86,6,20,48,57,59
-1,171,9,2,5,31,56,63,88,26,32,73,94,96
